"","Sample","ARO","Pathogen","Reads","MAPQ","Drug","Mechanism","AMR_Family","Gene_Length","FPKM"
"51","LKMG003-021.allele_mapping_data.txt","tet(Q)","Bacteroides fragilis",22,19.77,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1974,44.9811254290668
"52","LKMG003-021.allele_mapping_data.txt","acrD","Escherichia coli",6,21.33,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3114,7.77655820607618
"53","LKMG003-021.allele_mapping_data.txt","AcrF","Escherichia coli",18,22.97,"fluoroquinolone antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3105,23.3972968634988
"54","LKMG003-021.allele_mapping_data.txt","AcrE","Escherichia coli",5,22,"fluoroquinolone antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1158,17.4267431301966
"55","LKMG003-021.allele_mapping_data.txt","arnA","Pseudomonas aeruginosa",1,11,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",1989,2.02917732979062
"56","LKMG003-021.allele_mapping_data.txt","adeK","Acinetobacter baumannii",1,22,"macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1455,2.77390632917769
"57","LKMG003-021.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",1,11,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,3.42326862506661
"58","LKMG003-021.allele_mapping_data.txt","bacA","Escherichia coli",2,22,"peptide antibiotic","antibiotic target alteration","undecaprenyl pyrophosphate related proteins",822,9.8200333551181
"59","LKMG003-021.allele_mapping_data.txt","mdtE","Escherichia coli",4,11.5,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1158,13.9413945041573
"60","LKMG003-021.allele_mapping_data.txt","marA","Escherichia coli",1,22,"fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics","antibiotic efflux; reduced permeability to antibiotic","resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams",384,10.5105044503998
"61","LKMG003-021.allele_mapping_data.txt","smeB","Stenotrophomonas maltophilia",5,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3150,6.40640271262466
"62","LKMG003-021.allele_mapping_data.txt","mdtO","Escherichia coli",9,24.38,"nucleoside antibiotic; disinfecting agents and antiseptics","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",2052,17.7019022322524
"63","LKMG003-021.allele_mapping_data.txt","patA","Streptococcus pneumoniae",17,21.75,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,40.4793941310974
"64","LKMG003-021.allele_mapping_data.txt","patB","Streptococcus pneumoniae",30,20.85,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,68.5234925119446
"65","LKMG003-021.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",7,15.86,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,23.5435299688956
"66","LKMG003-021.allele_mapping_data.txt","PmrF","Escherichia coli",3,11,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",969,12.495460399237
"67","LKMG003-021.allele_mapping_data.txt","mexQ","Pseudomonas aeruginosa",4,11,"macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3162,5.10567199108607
"68","LKMG003-021.allele_mapping_data.txt","MexK","Pseudomonas aeruginosa",5,13.8,"macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,6.55626008601939
"69","LKMG003-021.allele_mapping_data.txt","mexN","Pseudomonas aeruginosa",1,11,"phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3111,1.29734288298089
"70","LKMG003-021.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",20,18.22,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,95.0773547456664
"71","LKMG003-021.allele_mapping_data.txt","gadW","Escherichia coli",8,19.25,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",729,44.2911792477754
"72","LKMG003-021.allele_mapping_data.txt","msbA","Escherichia coli",2,16.5,"nitroimidazole antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1749,4.61524723722531
"73","LKMG003-021.allele_mapping_data.txt","hmrM","Haemophilus influenzae",6,20.83,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,17.3592847696926
"74","LKMG003-021.allele_mapping_data.txt","catA8","Listeria monocytogenes",2,16.5,"phenicol antibiotic","antibiotic inactivation","chloramphenicol acetyltransferase (CAT)",648,12.4568941634368
"75","LKMG003-021.allele_mapping_data.txt","Pseudomonas aeruginosa CpxR","Pseudomonas aeruginosa",1,20.5,"macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",678,5.95285207810256
"76","LKMG003-021.allele_mapping_data.txt","MexF","Pseudomonas aeruginosa",3,11,"fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3189,3.79683321632506
"77","LKMG003-021.allele_mapping_data.txt","MuxC","Pseudomonas aeruginosa",3,11.33,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3111,3.89202864894266
"78","LKMG003-021.allele_mapping_data.txt","FosA6","Escherichia coli",3,25.25,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",420,28.828812206811
"79","LKMG003-021.allele_mapping_data.txt","rpoB2","Nocardia farcinica",16,15.1,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,18.5086097286491
"80","LKMG003-021.allele_mapping_data.txt","ICR-Mo","Moraxella osloensis",1,21,"peptide antibiotic","antibiotic target alteration","intrinsic colistin resistant phosphoethanolamine transferase",1677,2.40669869347259
"81","LKMG003-021.allele_mapping_data.txt","Acinetobacter baumannii AbaQ","Acinetobacter baumannii",2,22,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1305,6.18549227425829
"82","LKMG003-021.allele_mapping_data.txt","eptB","Klebsiella pneumoniae",3,11,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",1725,7.01918905904963
"83","LKMG003-021.allele_mapping_data.txt","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)","Streptococcus pyogenes",5,22,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",732,27.5685362633438
"84","LKMG003-021.allele_mapping_data.txt","TolC","Escherichia coli",7,21.71,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",1488,18.9867177168513
"85","LKMG003-021.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",3,11,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,3.6426297012216
"86","LKMG003-021.allele_mapping_data.txt","Staphylococcus aureus mupA conferring resistance to mupirocin","Staphylococcus aureus",1,22,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3075,1.31253128746456
"87","LKMG003-021.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",2,11,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,2.26679792696071
"88","LKMG003-021.allele_mapping_data.txt","HelR","Streptomyces venezuelae",1,11,"rifamycin antibiotic","antibiotic target protection","helicase-like RNA polymerase protection protein",2169,1.86078087088683
"89","LKMG003-021.allele_mapping_data.txt","leuO","Escherichia coli",19,24.35,"nucleoside antibiotic; disinfecting agents and antiseptics","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",945,81.1477676932457
"90","LKMG003-021.allele_mapping_data.txt","mef(E)","Streptococcus pneumoniae",2,11,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1212,6.66012163193653
"91","LKMG003-028.allele_mapping_data.txt","lnuA","Staphylococcus haemolyticus",4,29.33,"lincosamide antibiotic","antibiotic inactivation","lincosamide nucleotidyltransferase (LNU)",486,33.2183844358316
"92","LKMG003-028.allele_mapping_data.txt","mdtF","Escherichia coli",14,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3114,18.1453024808444
"93","LKMG003-028.allele_mapping_data.txt","APH(3')-Ia","Serratia marcescens",1,22,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",816,4.94611974136463
"94","LKMG003-028.allele_mapping_data.txt","mdtH","Escherichia coli",5,22,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1209,16.6916199708583
"95","LKMG003-028.allele_mapping_data.txt","adeH","Acinetobacter baumannii",4,18,"fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1452,11.1185501624064
"96","LKMG003-028.allele_mapping_data.txt","mecR1","Staphylococcus aureus",1,22,"penam","antibiotic target replacement","methicillin resistant PBP2",1758,2.29580984582112
"97","LKMG003-028.allele_mapping_data.txt","eptA","Escherichia coli",2,22,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",1644,4.91001667755905
"98","LKMG003-028.allele_mapping_data.txt","AcrS","Escherichia coli",13,23.83,"fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",663,79.1379158618341
"99","LKMG003-028.allele_mapping_data.txt","tet(C)","Aeromonas salmonicida",1,22,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1191,3.38877725352942
"100","LKMG003-028.allele_mapping_data.txt","acrB","Escherichia coli",24,21.83,"fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3150,30.7507330205984
"101","LKMG003-028.allele_mapping_data.txt","msrA","Staphylococcus epidermidis",17,22,"macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic","antibiotic target protection","msr-type ABC-F protein",1467,46.7706701105727
"102","LKMG003-028.allele_mapping_data.txt","novA","Streptomyces niveus",1,18,"aminocoumarin antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1848,2.18400092475841
"103","LKMG003-028.allele_mapping_data.txt","adeG","Acinetobacter baumannii",3,15.33,"fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1221,9.91654473944358
"104","LKMG003-028.allele_mapping_data.txt","mel","Streptococcus pyogenes",2,22,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,6.62731315099103
"105","LKMG003-028.allele_mapping_data.txt","mdtC","Escherichia coli",5,22,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,6.55626008601939
"106","LKMG003-028.allele_mapping_data.txt","evgS","Escherichia coli",4,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",3594,4.49196851302564
"107","LKMG003-028.allele_mapping_data.txt","mecA","Staphylococcus aureus",2,22,"penam","antibiotic target replacement","methicillin resistant PBP2",2007,4.02195685994373
"108","LKMG003-028.allele_mapping_data.txt","oleB","Streptomyces antibioticus",4,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1710,9.44101452386792
"109","LKMG003-028.allele_mapping_data.txt","acrD","Escherichia coli",6,22,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3114,7.77655820607618
"110","LKMG003-028.allele_mapping_data.txt","tet(K)","Staphylococcus aureus",3,22,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1380,8.77398632381204
"111","LKMG003-028.allele_mapping_data.txt","adeI","Acinetobacter baumannii",2,20.75,"macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1251,6.45249194077304
"112","LKMG003-028.allele_mapping_data.txt","AcrF","Escherichia coli",22,25.47,"fluoroquinolone antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3105,28.5966961664985
"113","LKMG003-028.allele_mapping_data.txt","AcrE","Escherichia coli",13,28.6,"fluoroquinolone antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1158,45.3095321385112
"114","LKMG003-028.allele_mapping_data.txt","emrA","Escherichia coli",8,24.5,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1173,27.5262316041162
"115","LKMG003-028.allele_mapping_data.txt","mdtE","Escherichia coli",6,22,"macrolide antibiotic; fluoroquinolone antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1158,20.9120917562359
"116","LKMG003-028.allele_mapping_data.txt","mtrD","Neisseria meningitidis",2,14.5,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,2.51937185327936
